iter	Passed	Remaining
0	165	165180
1	167	83510
2	169	56466
3	173	43093
4	174	34815
5	176	29205
6	177	25164
7	180	22322
8	181	20035
9	184	18289
10	186	16780
11	187	15451
12	188	14317
13	189	13357
14	191	12550
15	192	11842
16	193	11217
17	196	10704
18	198	10238
19	199	9760
20	200	9340
21	201	8959
22	202	8605
23	204	8319
24	205	8018
25	207	7758
26	208	7520
27	211	7326
28	212	7121
29	213	6899
30	214	6700
31	216	6546
32	217	6369
33	218	6212
34	220	6067
35	220	5916
36	222	5793
37	225	5696
38	227	5601
39	229	5513
40	230	5390
41	231	5280
42	233	5190
43	234	5093
44	236	5008
45	238	4941
46	240	4872
47	242	4802
48	243	4717
49	244	4644
50	245	4575
51	247	4507
52	248	4441
53	250	4380
54	251	4317
55	252	4263
56	255	4221
57	256	4165
58	257	4108
59	258	4052
60	259	3994
61	260	3942
62	261	3892
63	262	3843
64	263	3795
65	265	3751
66	266	3708
67	267	3662
68	269	3630
69	270	3593
70	271	3551
71	272	3510
72	273	3473
73	274	3433
74	275	3393
75	276	3355
76	276	3320
77	277	3285
78	278	3249
79	279	3214
80	280	3181
81	281	3147
82	282	3118
83	283	3088
84	283	3055
85	284	3024
86	285	2992
87	285	2962
88	286	2932
89	287	2903
90	287	2875
91	288	2847
92	289	2820
93	289	2793
94	290	2766
95	291	2741
96	291	2715
97	292	2690
98	293	2667
99	293	2643
100	294	2620
101	294	2596
102	295	2573
103	296	2551
104	297	2533
105	298	2514
106	299	2495
107	299	2476
108	300	2457
109	301	2440
110	302	2420
111	302	2401
112	303	2382
113	304	2364
114	304	2346
115	305	2327
116	306	2310
117	306	2292
118	307	2274
119	307	2258
120	308	2241
121	309	2225
122	309	2207
123	310	2191
124	310	2176
125	311	2161
126	312	2147
127	312	2132
128	313	2119
129	314	2106
130	315	2092
131	316	2078
132	316	2064
133	317	2051
134	318	2037
135	318	2024
136	319	2010
137	319	1997
138	320	1984
139	321	1972
140	321	1959
141	322	1948
142	323	1936
143	323	1924
144	324	1912
145	325	1901
146	325	1889
147	326	1878
148	327	1867
149	327	1857
150	328	1848
151	329	1838
152	330	1827
153	330	1817
154	331	1807
155	332	1797
156	332	1787
157	333	1777
158	334	1767
159	334	1757
160	335	1747
161	336	1738
162	336	1728
163	337	1719
164	337	1710
165	338	1702
166	340	1696
167	340	1688
168	341	1680
169	342	1672
170	343	1665
171	344	1657
172	345	1649
173	345	1641
174	346	1634
175	347	1627
176	348	1619
177	349	1611
178	349	1604
179	350	1596
180	350	1587
181	351	1579
182	352	1572
183	353	1566
184	354	1559
185	354	1552
186	355	1544
187	356	1537
188	356	1530
189	357	1524
190	358	1517
191	359	1511
192	359	1504
193	360	1497
194	361	1490
195	361	1484
196	362	1477
197	363	1471
198	364	1465
199	364	1459
200	365	1453
201	366	1448
202	367	1443
203	368	1438
204	369	1432
205	370	1427
206	371	1421
207	372	1416
208	373	1412
209	374	1407
210	374	1401
211	375	1397
212	376	1392
213	377	1386
214	378	1381
215	379	1376
216	379	1371
217	380	1365
218	381	1360
219	382	1356
220	383	1351
221	384	1346
222	384	1341
223	385	1335
224	386	1331
225	387	1326
226	388	1322
227	389	1317
228	390	1313
229	390	1308
230	391	1303
231	392	1299
232	393	1295
233	394	1292
234	395	1288
235	396	1284
236	397	1279
237	398	1274
238	398	1270
239	399	1265
240	400	1261
241	401	1256
242	401	1251
243	402	1246
244	403	1242
245	404	1239
246	405	1235
247	405	1230
248	406	1226
249	407	1222
250	408	1218
251	408	1213
252	409	1209
253	410	1205
254	410	1200
255	411	1196
256	412	1191
257	412	1187
258	413	1183
259	414	1178
260	414	1174
261	415	1169
262	415	1165
263	416	1161
264	417	1157
265	418	1153
266	418	1149
267	419	1146
268	420	1142
269	420	1138
270	421	1134
271	422	1130
272	423	1126
273	423	1122
274	424	1119
275	425	1115
276	425	1111
277	426	1107
278	427	1103
279	427	1100
280	428	1096
281	429	1092
282	429	1088
283	430	1084
284	431	1081
285	431	1077
286	432	1074
287	433	1071
288	434	1067
289	434	1064
290	435	1061
291	436	1057
292	437	1054
293	437	1051
294	438	1047
295	439	1044
296	440	1041
297	440	1038
298	441	1034
299	442	1031
300	442	1027
301	443	1024
302	443	1021
303	444	1017
304	445	1014
305	445	1010
306	446	1007
307	446	1004
308	447	1001
309	448	998
310	449	995
311	450	992
312	451	989
313	451	986
314	452	984
315	453	981
316	453	977
317	454	974
318	455	971
319	455	968
320	456	965
321	457	962
322	457	959
323	458	956
324	459	953
325	459	950
326	460	947
327	461	944
328	461	941
329	462	938
330	463	935
331	463	932
332	464	930
333	465	927
334	466	925
335	466	922
336	467	920
337	468	917
338	469	914
339	469	912
340	470	909
341	471	906
342	471	903
343	472	901
344	473	898
345	473	895
346	474	892
347	475	890
348	475	887
349	476	884
350	477	882
351	477	879
352	478	877
353	479	875
354	480	873
355	481	870
356	481	868
357	482	865
358	483	862
359	483	860
360	484	857
361	485	855
362	485	852
363	486	850
364	487	847
365	487	845
366	488	842
367	489	840
368	489	837
369	490	835
370	491	832
371	491	830
372	492	827
373	493	825
374	493	822
375	494	821
376	495	819
377	496	817
378	497	815
379	498	813
380	499	810
381	499	808
382	500	806
383	500	803
384	501	801
385	502	798
386	503	796
387	503	794
388	504	792
389	505	790
390	505	787
391	506	785
392	507	783
393	507	780
394	508	778
395	509	776
396	509	774
397	510	772
398	511	770
399	512	768
400	512	766
401	513	764
402	514	761
403	514	759
404	515	757
405	516	755
406	516	753
407	517	751
408	518	748
409	518	746
410	519	744
411	520	742
412	520	740
413	521	738
414	522	735
415	522	733
416	523	731
417	524	729
418	524	727
419	525	726
420	526	724
421	527	722
422	528	720
423	528	718
424	529	716
425	530	714
426	530	712
427	531	710
428	532	708
429	532	706
430	533	704
431	534	702
432	534	700
433	535	698
434	536	696
435	536	694
436	537	692
437	538	690
438	538	688
439	539	687
440	540	685
441	541	683
442	542	681
443	543	680
444	543	678
445	544	676
446	545	674
447	545	672
448	546	670
449	547	668
450	547	666
451	548	665
452	549	663
453	549	661
454	550	659
455	551	657
456	552	656
457	552	654
458	553	652
459	554	650
460	554	648
461	555	647
462	556	645
463	557	643
464	558	642
465	558	640
466	559	638
467	560	636
468	560	634
469	561	633
470	562	631
471	562	629
472	563	627
473	563	625
474	564	624
475	565	622
476	566	620
477	567	619
478	567	617
479	568	615
480	569	614
481	569	612
482	570	611
483	571	609
484	572	607
485	573	606
486	574	604
487	575	603
488	575	601
489	576	600
490	577	598
491	578	597
492	578	595
493	579	594
494	580	592
495	581	590
496	582	589
497	583	587
498	583	586
499	584	584
500	585	583
501	586	581
502	587	580
503	588	579
504	589	577
505	590	576
506	590	574
507	591	572
508	592	571
509	592	569
510	593	568
511	594	566
512	595	565
513	596	563
514	596	562
515	597	560
516	598	558
517	598	557
518	599	555
519	600	553
520	601	552
521	602	551
522	603	549
523	603	548
524	604	546
525	605	545
526	605	543
527	606	542
528	607	540
529	607	539
530	608	537
531	609	535
532	609	534
533	610	532
534	611	531
535	611	529
536	612	528
537	613	526
538	613	525
539	614	523
540	615	521
541	615	520
542	616	519
543	617	517
544	618	516
545	619	514
546	619	513
547	620	511
548	621	510
549	621	508
550	622	507
551	623	505
552	624	504
553	624	503
554	625	501
555	626	500
556	626	498
557	627	496
558	628	495
559	628	493
560	629	492
561	629	490
562	630	489
563	631	488
564	632	486
565	633	485
566	633	484
567	634	482
568	635	481
569	636	479
570	636	478
571	637	477
572	638	475
573	638	474
574	639	472
575	640	471
576	640	469
577	641	468
578	642	467
579	643	465
580	644	464
581	644	463
582	645	461
583	646	460
584	647	458
585	647	457
586	648	456
587	649	454
588	650	453
589	650	452
590	651	450
591	652	449
592	652	448
593	653	446
594	654	445
595	654	443
596	655	442
597	656	441
598	656	439
599	657	438
600	658	436
601	658	435
602	659	434
603	660	432
604	660	431
605	661	430
606	662	429
607	663	427
608	664	426
609	665	425
610	665	423
611	666	422
612	667	421
613	667	419
614	668	418
615	669	417
616	669	415
617	670	414
618	671	413
619	671	411
620	672	410
621	673	409
622	673	407
623	674	406
624	675	405
625	675	403
626	676	402
627	676	400
628	677	399
629	678	398
630	679	397
631	680	395
632	680	394
633	681	393
634	681	392
635	682	390
636	683	389
637	683	388
638	684	386
639	685	385
640	686	384
641	686	382
642	687	381
643	688	380
644	688	379
645	689	377
646	690	376
647	690	375
648	691	373
649	692	372
650	692	371
651	693	370
652	694	369
653	695	367
654	695	366
655	696	365
656	697	364
657	698	362
658	698	361
659	699	360
660	700	359
661	700	357
662	701	356
663	701	355
664	702	353
665	703	352
666	703	351
667	704	350
